TD,69,670,0,0,0,4,2,f,0,p,0,v,x,5,0,0,1,0,
BE,74,670,1,1,0,0,8,f,0,p,0,a,g,4,0,0,0,1,
EZ,1,841,1,0,0,0,11,f,0,p,0,v,x,5,0,0,1,1,"very good ground pickup, cycle time, success rate"
AS,16,841,1,0,1,0,1,f,0,x,0,n,a,3,0,0,0,0,"Note stuck in robot, didn’t get it out"
sc,13,841,0,0,1,0,2,f,0,x,0,n,x,3,0,0,0,0,
AD,41,841,0,0,2,0,5,f,0,x,0,a,g,3,0,0,0,1,
SB,47,841,0,0,0,0,14,f,7.7,o,0,v,x,5,0,0,0,1,Extremely good tele op
BK,55,841,0,0,0,0,6,b,0,a,0,a,x,3,0,0,1,0,Missed 3-4 speakers and was hogging the area
DU,63,841,0,0,2,0,4,f,0,o,0,a,a,4,0,0,0,1,Missed some speaker shots. Note got stuck halfway in.
EZ,66,841,0,0,3,0,7,f,0,x,0,v,x,4,0,0,1,1,good speaker for melody
EZ,4,972,0,0,0,0,1,f,0,p,0,a,x,3,0,0,1,0,not super effective
SB,25,972,0,0,1,0,6,f,0,o,0,v,x,4,0,1,H really got tele op,,
AK,31,972,0,0,1,7,0,x,0,x,0,x,x,3,0,0,0,0,
AK,31,972,0,0,1,7,0,x,0,x,0,x,x,3,0,0,0,0,
AY,41,972,0,0,0,5,0,b,0,o,0,v,x,5,0,0,0,1,
sc,49,972,0,0,1,4,0,x,0,o,0,v,x,3,0,0,0,0,good amp
Mk,54,972,1,0,0,3,2,f,0,x,0,v,x,3,0,0,0,1,
mg,57,972,0,0,0,0,7,f,0,p,0,a,x,3,0,0,0,0,Got a note stuck under them
AS,57,972,0,0,1,0,7,f,0,x,0,a,x,4,0,0,0,0,
Ps,64,972,1,0,1,2,2,b,0,x,0,a,g,4,0,0,0,0,
gc,12,987,0,0,2,0,6,b,0,o,0,v,g,5,0,0,0,1,"attempted note in trap, also not very accurate but fast"
DU,21,987,0,0,1,2,4,b,0,x,0,a,x,5,0,0,0,1,About 60% accuracy for speaker
Ag,37,987,0,0,1,2,6,b,22.2,x,0,v,a,4,0,0,0,0,
AD,45,987,1,0,1,4,3,x,0,x,0,a,x,4,0,0,0,1,good not that accurate though
mj,51,987,0,0,1,0,3,x,6.4,o,0,v,x,5,0,0,0,1,10/10
SP,6,987,1,1,3,2,7,f,0,x,0,v,x,4,0,0,0,1,
Ag,45,987,0,0,1,3,3,b,0,x,0,n,x,3,0,0,1,0,
TD,66,987,1,0,3,0,4,s,0,p,0,v,x,5,0,0,1,1,
AL,3,1351,0,0,0,4,1,b,0,a,0,a,a,4,0,0,0,0,"Note fell out of intake a couple of times, amp = good"
TD,13,1351,0,0,1,5,0,f,0,x,0,a,a,4,0,0,0,1,
gc,42,1351,0,0,1,3,4,f,6.7,o,0,v,a,4,0,0,0,1,accurate and frequent scoring :)
DU,45,1351,0,0,2,5,1,f,0,o,0,a,x,4,0,0,0,1,Very consistent amp
EZ,54,1351,1,0,0,2,1,f,0,x,0,a,x,3,1,0,0,0,not very good at scoring
Sp,61,1351,0,0,2,0,6,x,5,o,0,n,b,3,0,0,0,0,
TD,12,1678,1,0,2,4,1,s,0.8,o,1,v,x,5,0,0,0,1,
SB,7,1678,1,0,1,0,10,x,0,o,0,v,x,5,0,0,0,1,Very good tele op but auto is not reliable
HS,20,1678,1,0,3,6,5,x,0,o,1,v,e,5,0,0,0,1,they're first what more do I say
mj,26,1678,0,0,3,0,9,x,0,o,1,v,x,5,0,0,0,1,very good at speaker and offense
HS,35,1678,0,0,4,5,5,x,0,o,1,v,e,5,0,0,0,1,
AK,39,1678,0,0,3,4,8,x,0,p,0,v,x,5,0,0,0,0,
Ag,46,1678,1,0,3,2,6,b,0,o,1,v,a,5,0,0,0,1,
Ag,53,1678,0,0,5,1,8,x,0,o,0,v,g,5,0,0,0,1,
AL,57,1678,0,0,3,2,5,f,0,o,1,v,g,5,0,0,0,1,I mean its Citrus so
EZ,69,1678,1,0,3,0,3,f,2.8,o,0,v,x,5,0,0,0,1,
DU,6,1868,0,0,0,0,0,x,0,x,0,x,x,1,1,0,0,0,Disabled did not move entire game including auto.
Mk,17,1868,0,0,0,0,2,f,0,p,0,a,b,4,1,0,0,1,
AY,30,1868,1,0,0,0,0,f,0,a,0,v,e,4,0,0,0,0,note kept getting stuck in intake so they played defens
EZ,39,1868,0,0,0,0,8,f,0,p,0,v,x,4,0,0,1,1,got over their connection issues
gc,43,1868,0,0,0,0,0,f,0,x,0,a,x,4,0,0,0,0,"mech was not working, could pick up but did not score"
MG,56,1868,0,0,0,0,7,f,0,x,0,a,x,3,0,0,0,0,their auto failed and they shot a note off the field 
AS,56,1868,0,0,1,0,6,f,0,x,0,a,x,4,0,0,0,0,
SB,62,1868,1,0,0,0,4,f,0,p,0,n,x,5,0,0,0,0,Driver is not very good but mech and software is good
SE,66,1868,1,0,1,0,1,f,2.8,a,0,v,e,3,0,0,0,0,Very good defense
TD,73,1868,0,0,0,0,6,b,0,x,0,a,x,3,0,0,0,0,
AK,4,1967,0,0,0,0,3,f,2.1,o,0,a,a,3,0,0,0,0,
gc,13,1967,0,0,1,0,2,f,0,a,0,n,b,1,0,1,0,0,seemed like mech broke?
AS,19,1967,0,0,1,0,0,x,2.8,o,0,n,x,3,0,0,0,0,"Missed three notes at source, forced to defense"
sc,30,1967,0,0,1,0,8,f,0,o,0,v,x,4,0,0,0,1,damn consistent
Ag,38,1967,0,0,0,0,7,b,0,a,0,a,g,3,0,0,0,0,
